,Review,sentiment
1840,"This place was ok. We tried the roasted duck, roasted pork, and bbq pork, and pork tongue. Taste was average. Duck was very hard to bite through. Meats were cut sloppily and some barely cut. Floor was sticky. With so many better options around, probably won't try again.",1
82,"This place is a small hole in the wall and worth visiting if you crave some good old fashioned tacos rather than the commercial stuff.. portion sizes were good however the flavours were slightly missing for me.. 

I would visit them again if I was in the area, but not necessarily my go to place. Please don't let my review deter you from trying their tacos though, they are still pretty good. 

Flavours can be very subjective and this place is definitely worth a try.. but if you know and love tacos and taco culture as much as me, then you would also know that everyone has their own go to spot.. 

This place has great service, friendly staff and a small seating area if you just want to eat quickly or grab'n'go.",1
927,"I ordered the Siciliana pasta. For the prices that everything is on the menu, it's definitely worth it. We all got a pretty big portion. In terms of taste however, it didn't really blow me away. 

Although the food took quite some time to get to us (30 minutes) the service was great. I had this waitress from Ireland who was quite nice. When I wasn't sure of which wine to get, she also brought me tasters. 

Overall, it's a good place for fairly cheap Italian food but it didn't blow my socks off.",1
885,"Wow! 
Now I know Italian food doesn't get better than this. The burrata pizza with truffles was like tasting heaven and then coming back, just amazing... I would recommend it to share it with others and try their amazing duck pasta which is super rich in flavour :) also do not forget to leave some space for dessert!!",2
1890,"If you are looking for more fusion dim sum, this is the right place for you. Really love the foie gras tart, the lobster dumpling is pretty good. Didn't like the turnip cake and caviar dumpling as much. Ordered the deep fry veg bean curd roll that's really good too forgot to attach the picture here. The truffle chicken dumplings were okay.
It's a little pricy compare with other dim sum restaurants. 

I would say the food is 3.5 stars but the price of the parking and service made it to 4 stars. 


The parking is cheap as it is located in downtown.",2
369,"I came here to try out some tacos.  The tacos average in price about $5 each.  They have different sauces that you can put on your tacos.   I tried the pork tacos.  While it wasn't bad, it wasn't memorable either.  

This place is located inside and there are other businesses inside as well.  It was hot and stuffy.  The restaurant wasn't the cleanest either.  

Overall, it was just ok.  A bit cheaper than the more famous place across the street.",1
1570,"I was craving for noodle so we saw this place on Yelp and decided to give it a try. We came at lunch time and there were a lot of people in the line  15-20 people, but the line move really quick so we ended up wait around 15'. Why I was waiting in line, I got to watch the people inside hand made the noodle, that was so awesome and how much work that put in to have a yummy bowl of noodle. We decided to try the big bowl of beef noodle. The noodle is really good, we chose the thick noodle and not so chewy. The soup was tasty and add a little bit spicy to it, it was so good.",2
575,"Super-nice back patio and friendly service. Artfully made food. My wife and I stumbled by accidentally. We'd already had dinner earlier that night, but the restaurant's pleasant exterior beckoned. 

Before we knew it we were seated on the back patio. 

We each ordered a couple of tacos and they were nicely done. I really enjoyed my Hongos taco. Perfectly rolled and dressed; crispy and well presented on a thin rectangular plate. 

We were going to leave it at that, but the desert really grabbed us. 

So- 10 years ago I fell in love with avocado gelato. It's really good but I've only seen it made at one gelato place that has long been out of business.  Anyhow, my wife was really excited to spot that on the menu, there it was!!! Avocado gelato. Served with churros and sauce.  Yummm.  So good. Highly recommended. 

We'll be back for a proper dinner for sure.  

Check out the back patio while it's still warmish out. (As I write this, it's almost officially Fall). Cheers!",2
16,"I've been duped by yelp reviews!! We were given recommendations for this place as a great lunch spot which was super cute inside and patio area was so inviting. The stars were for the decor and the one dish! 

Food we ordered:
Chile Rellenos- with rice and black beans- this was the star dish for sure, two large chille rellenos and delicious rice. Sauce was tasty as well. 

Guacamole- prepared guacamole probably mixed with fresh avocado, you can just tell it's from a bag because it's watery instead of creamy. Not special at all

Grilled fish tacos- this is so upsetting, they said it was bass, well it's not. If it was it's the mushiest bass I've ever eaten. Three little tacos that that hid the tiny piece of fish for $19 bucks! Sad don't get this

So disappointed",1
1753,"The number one dim sum and mom-and-pop shop in Toronto - hands down. The dim sum comes out steamy hot and the dishes are deliciously flavourful! 

We ordered the ha how, siu mai, garlic squid, spinach dumpling, and a bunch of other dishes too. For 2 people, I suggest ordering at least  6 or 7 dishes (each are around $3-4). Our total came to $35 with tax and tip. This restaurant is a definitely among my top 10 places to eat in Toronto. I am in a dim sum nirvana just reminiscing about our dinner here. Only locals know about this place so it's almost never packed.

Pro tip: You need to order at the counter. So pick up an order slip, choose wisely on your fav dishes, and hand it back to the person behind the counter. 

Prop tip 2: You'll need to ""self-serve"". So grab your plates, chopsticks, tea, etc. They only bring you the food. The food makes up for this so I don't care.

Prop tip 3: There's tables that seat up to 4, so don't come with a crowd of 10 or more. 

Transit directions: Take the TTC to Donlands Station, walk towards Danforth (turn right when you exit the station entrance) and then when you're on Danforth, look straight across. It's a bit hidden, but well worth the find.

When we were here, there was a white dude working with the Chinese mom, dad, and uncle. We had speculated that he was adopted but didn't ask. Anyways, they were all super nice. 

Pro tip 4: They deliver locally and have lunch specials.

I wish I lived nearby because I'd be here at least once a week. It's my dim sum secret place, more of an ""super elite spot"" in my books. In comparison, the food here is far superior than compared to any dim sum restaurant near Dundas and Spadina. I think it's their family recipes that are used and the fact that the owners really care about the art of dim sum making. A must eat!",2
213,"Stumbled upon this restaurant while searching for lunch before heading to Yorkdale. The restaurant is quite small, more of a takeout joint and seats about 6 people. The restaurant is very hot and humid and there was only one fan facing the window. There is free street parking (depending on the time), however there is paid parking directly in front of the restaurant.

We ordered the 3 for $12 ( Black Tiger Shrimp, Fish & Carnitas tacos). The food was flavourful, however it didn't hit the spot for me. We also took advantage of the free chips and salsa check in offer.

Overall, nice presentation of the tacos but I wouldn't be going out of my way to come back to satisfy my taco cravings.",1
1154,"Not even going to talk about the food here because the service here was abysmal. We asked for 3 cups of hot water and were charged $1.50/cup. When we asked the waiter why they charge for hot water they mentioned that all restaurants in yorkville charge for water. After suggesting some of the restaurants  we regularly visit that offer complimentary hot water, the waitress said, ""I guess those restaurants aren't high end anyway...""

I'm sorry, kasa moto and one have $$$ and $$$$ ratings while this barn has $$. Snobs.",0
554,"This year has really started off well for me (at least in terms of food haha)

King Tacos is a family-run Mexican restaurant on St. Clair West. We ordered Gaucamole, Chicken Tacos and Beef Bistec Tacos. 

You do get free fresh chips and sauces with all orders, which I think is super! 

The whole concept is amazing. You get FRESH tacos in a taco box, you assemble it yourself, which I think is nice. You also get 3 different sauces to add to your tacos and you can add cheese too! 

It's very authentic and similar to how it is in Mexico! It's quite a large restaurant with lots of seating. The only thing I would say it as it's family run, it's a little slow. They're definitely hospitable and friendly but the service is a little slow, even for a weekend lunch. I won't ding them for this because the flavours of everything we ordered was scrumptious. Large portions don't hurt either ;)",2
403,"I'm all for small, authentic , family run business , and this is exactly what you get at Mexico Lindo. 
My friend and I visited on a Wednesday afternoon & we were one of two tables. I ordered the guacamole, & fish tacos (on special on Wednesday's) & my friend ordered the beef chimichanga. 
The guacamole was amazing- lasted us 3-4 refills of chips. It was fresh, smooth & the perfect consistency. I just wish it came with better salsa (tasted like the basic Tostitos one out of the jar). 
The fish tacos- were okay at most. Not much flavour in the tacos (I've had better at JOEYS & other chain restos). Their rice however was fresh & delicious and their salad tasted like a Greek salad but was still very good. Also- there was nothing spicy or flavourful about the dish which is why I was  disappointed. 
The chimichangas- my friend ordered beef but got chicken. Not the biggest deal to us but still odd how the waitress forgot when we were one of two tables. She liked her dish and it was so filling! 

Overall, my friend and I both left with take out boxes because of how filling everything was. Majority - if not all- plates come with beans, rice & salad. Service and food were mediocre at best (the birchmount express location is much better) but I will come back here to support the family's business.",1
1772,"Last week, I decided to get take out from a nearby restaurant. They said it would take twenty minutes, so I decided to walk around instead of waiting at the restaurant. I had killed some time and by the time I had looped around, I thought hey maybe I can grab one of my favorite treats as dessert. Dynasty was right there, so I went upstairs, proceeded to the counter, looked at their priceless* dim sum menu and ordered one order of the steamed egg yolk custard buns.

I said priceless with an * because I wanted to explain that it didn't have a price next to the items... Not because there menu is super precious. Boy did I ever experience sticker shock. Yes, I do remember Dynasty is over priced and the food is average here. But when I paid over $10 for three tiny buns...I couldn't help but think: didn't I pay just four dollars for three of these, but slightly larger ones, at Rol San a few weeks ago? 

Okay, so maybe the quality is why it's priced higher, I thought. So after eating amazing Indian food for dinner, I dug into the custard buns. The filing is kinda dry... Atop of this, there's some weird film/coating around the ""custard""/yolk. I assume it's edible, because it's in all three, and I ate it. But if I had to compare it against other custard buns that I've had... I'd much prefer a creamy custard instead of something dried up. I don't think of custards as something dried up ever.

There was a time when the buns were good here... Years ago. Its a shame because the other items in the menu here really are average and over priced.",0
1172,"It was alright, servers very friendly 5/5 food 3/5 wouldn't go out of my way to come back. VERY LOUD.",1
354,"Went last week on Thursday to try their all you can eat Tacos. Nice hand made tortillas. I tried Beef, Carnitas, Pastor and Barbacoa. They were okish, the beef meat wasn't too good. Barbacoa was nice. Very well served with lots of meat. The salsas were in a bottle mild, medium and hot. Not very typical Mexican salsas in terms of flavour and freshness. A friend ordered a slice of Tres leches cake and something was off, the milk on it was not very good tbh so it wasn't eaten. So $19 for all you can eat, 3 tacos first and then one taco at the time. It wasn't completely bad but I doubt I will be back.",1
1605,"Probably 3.5 stars. Overall, this place wasn't bad but I think it's definitely overhyped. It's known for its fresh seafood, namely king crab and lobster. Although you can choose the flavors, the most popular by far is the garlic fried option in which they fry the seafood with tons of garlic and place it on top of a mound of fries. It tasted good, but I feel like by the nature of the dish, it's hard to mess up. 

The staff also seems to be trained to upsell at every opportunity. The waitress persuaded us to order the crab/lobster combo which came with 5 lbs of lobster and 6lbs of king crab. When they came out to show us the live seafood, they claimed that they only had crabs that were 7.5 plus lbs so we would have to pay for the extra weight. 

The meal itself was good but nothing mind blowing. The soup and dessert (which was just macaroons) were very underwhelming. The crab fried rice also tasted kind of plain and didn't have much crab flavor. I did enjoy the garlic fried lobster and steamed crab legs though. 

They automatically add tax and a 10 percent service charge to the bill. They only accept cash and Canadian debit which is crazy considering how pricey the meal is - who carries that much cash around nowadays? You can pay with USD however it will be for an exchange rate slightly lower than market value. 

If you are set on trying this place, it may not hurt to come once. But considering a meal for four was almost 600$ I was expecting something much more memorable.",1
1794,"I am a bit torn by this rating. I would give it a 2.5 if I could. I was a little freaked out my the fruit flies hovering around my table but I put it aside. Hopefully the kitchen is clean, but what can I do about it, nothing. I order two dishes I get at Trizest, a Sichuan place near my home, in Michigan. The Cold Sichuan noodles were good but a bit bland. The portion size of the small would easily feed two. The Ma Po tofu was again, a large portion. It did seem to lack the Sichuan peppercorns and the mouth numbing effect. I'm a fan of salty but it was way salty. I think it was the preserved black beans that put it over the top. My dish didn't come with rice so I had to order some on the side. All in all it was good, but I wouldn't make a pilgrimage here.",1
1829,"Food was ok nothing special. 
The taste was more blend i don't know i thought after reading the reviews it will be a good place but I didn't like the food flavors. 
We ordered a lot of food.
After waiting so long that someone's gonna pick up our order.
To this counts noodle with beef, crispy fried noodles, veggies and dumplings and beef pancake.
Actually I liked the beef pancake and the dumplings.
When we were finished we ordered the bill. 
A lady came with the takeout boxes and then the drama starts I don't know the lady was packing the food and she throws angry the empty plate on the table. 
She got so upset first I thought I gave here to less tip and then I was like no it can't be. 
So she was so angry she went to the other waiters and keep on pointing to our table and she was like angry like no tomorrow. 
I was literally shocked what happen to her.  
Trying to ask but well she didn't speak English.
So I ignored them all of them. 
I don't know maybe she got mad that I couldn't finish my food.
So my advice for this place is nothing special. If you want some waiter getting angry at you for no reason sure go ahead. This place is not recommended from my side.",0
127,"Decided to check this out from Yelp recommendations. When I arrived inside the front door, was greeted right away by the super friendly staff. We proceeded in the back for dining in. The menu had a wide assortment of tacos to choose from, a couple drink options and guacamole. I ordered the quesadillas, the shrimp taco, carnitas and fish taco. Overall the taste of each of the tacos were great, loaded with flavor! The quesadillas was more different then your normal quesadillas, it was quite doughy but was oozing with cheese. I would definitely come back and would recommend to anyone who's looking for some quick tacos and a more quiet atmosphere.",2
1101,Food was mediocre at best I'm sad to say. The pastas and salads were very generic and like I can make that myself at home. Bread was warm which was nice and the atmosphere of both the outside downstairs/upstairs patios and the interior was nice.,1
291,"We ordered takeout from here over the weekend and the food was okay. I would consider it mediocre but for the low price of $3-4 per taco you can't really complain. 

Pros:
Low price
Gluten free options (corn tortillas)

Cons:
Not as flavourful as other tacos I have had. 

In all honestly I thought the value was really good but the flavour could be improved.

I ordered the beef and cactus/mushroom taco. They didn't blow me away but they were pretty good for the low price point. 

Would I return?
If I was in the area and needed a gluten and lactose free meal... sure!",1
1214,"Ok, so I know this place is all the rage. 

I ordered the grilled beef for corona takeaway and I was disgusted. There was more fat, cartilage and inedible pieces than beef. Chew chew CRUNCH - spit. Over and over. My friend called me two hours later after ordering the same thing - she ended up giving her order to the homeless after the first bite. 

This means that they either don't clean (cut the meat) properly, or using cheaper pieces to save a buck. 

The grilled chicken was dry too. Honestly though, the shrimp was good. Stick to pulled beef and chicken for authenticity and - TEXTURE. C'mon seven lives!

Very disappointed.",0
173,"Delicious tacos, horrible sangria. 

Campechano and Seven Lions are the only two ""authentic"" tacos I've had in Toronto, as compared to tacos you can get in the US, particularly as you get close to the Mexican border. At $6-$8 each, they're not cheap, and you'll need between 2-4 to fill you up. 

Avoid the sangria - one of the worst I've had in Toronto.",1
542,"The food was good and the presentation was awesome but I expected it to be more flavourful. 

The place is clearly family run and the service was great because of that. The lady who served me was super sweet.",1
629,Came here because of the lyric in the Drake song and it was a really authentic experience. Would completely recommend it- thanks Drake.,2
937,Very cute and charming restaurant tucked in the Eglinton area. Food was very good - I really enjoyed the duck leg and the beef carpaccio! I like the use of the iPads for menu as well - very convenient and unexpected twist for such a rustic place.,2
1857,"Yum! I've been searching for a place that satisfy my cravings for nice, thick... biang biang noodles!! Great value and taste that's all you need, you gotta eat here.

It's just so inconvenient to make these Xi'an hand pulled noodles at home and hard to find a place in Toronto that delivers thick noodles in the right texture and comforting flavours. Tomato and egg and eggplant is not something you typically find with noodle dishes and just love the tomato/egg as it's a staple comfort food in Chinese cuisine. 

This place has it all in terms of what I look for in a good noodle joint, hand pulled, great flavors, GREAT value and complimentary ingredients. They don't skimp out the veggies or give bad cuts of meat like some places do. Love the pork belly. 

I tried the biang biang and beef rib soup noodle. I say the biang biang is a must try when you first come. Beef rib soup noodle is just not as good.

I also try Liang pi combo, so odd that it comes with specifically orange soda. Is orange soda the best complimentary drink? The meat bun, orange soda and cold noodles all together is only $11~. What a bargain!

Quickly added to my favs!",2
775,"We made resos for a Thursday night. Boy was this place packed! I liked the ambiance but felt like it was too noisy. I liked how it was dimly lit. 
I ordered the duck ravioli. Portion size seemed small. Sauce was good but I felt like it was missing something salty! 
My friend ordered the spicy sausage pasta which was tasty as well. She said it was al dente and the pieces of meat were good. It wasn't too salty or saucy.  
The complimentary bread was mediocre. It was cold and came in a folded paper basket. A small bowl of olive oil was hidden underneath. The olive oil was delishhh though! 
Overall it was alright. Prices are reasonable for the quality. I'm not sure if I'd go back again though!",1
65,"I have driven by this plaza several times, yet I never noticed this small Mexican restaurant until a friend suggested it.

There are only a handful of tables and I noticed they do a lot of take-out orders.  The menus are on chalkboards so it is very easy to read.  We ordered at the cash register, and then found a seat.  We were given complimentary tortilla chips and homemade salsa, which was a nice start.  We ordered two of the Mexican Combos, which consists of one beef chimichanga, one chicken enchilada, rice, salad and beans.  The food was very authentic and fresh.  I thought the beef would have been chunks rather than ground beef though.  My bad for not asking.  

The real star of the meal for me was the horchata.  I have not had once since our vacation in Mexico.  The drink was refreshing, delicious, and very creamy, with the right balance of rice, almonds, various milks and cinnamon.  It is very filling though!  I would definitely order it again.  

I was beyond full, but being a dessert lover, I had to try the caramel flan.  I should have taken it to go, but it looked so delicious.  Mexico Lindo's version is quite different.  The flan is very firm, not jiggly wiggly, and big on flavor!  My husband had only one bite, which is just as well.  I managed to finish it all by myself.

The owner came over and chatted with us, and it is nice to see a family put so much passion into what they do.  

Mexican Combo - $11.95
Horachata - $3.50
Caramel Flan - $6.00",2
1316,"3.5/5
With so many ramen joints in and around Toronto, this place is just another typical ramen joint. I'm really surprised to hear many say this is their favourite ramen.
Remember to join the yelp waitlist during busy hours but service is usually speedy with quick turnarounds in table. 
Approx. $15 per bowl, portions could be larger but there is the option to add extra noodles for a few dollars.",1
1434,"Just prepared that you may wait more than 50 mins for food serving. i came here twice. each time me and my friends will waiting more than 50 mins for food after we ordered. no matter how many customers in here. they are always very slow. even fried rice, they will take that long.

And the fried rice. Are not totally sauced... even it took 50 mins to make.",0
910,"Came here for brunch on Sunday and it was way off the mark. While the ambiance is nice, it was moderately loud and you may be asked to share a table with another group. That didn't bother us really -- the fail point was that they were out of so much stuff and the waitress didn't let us know before we spent a good ten minutes with the menu. No steak. Shoot.

The other failpoint was how their trout brunch menu item is basically like a few bits of fish and citrus. It's definitely not an entree and more of an appetizer. While the waitress did seem to communicate that a tad, I think we definitely expected something different.

The egg dish with the bread was pretty good and tasty and the winner, but portion-wise it also wasn't super filling, but the eggs were perfect. My goat meat focaccia sandwich was decent and tasty -- but I left the meal a bit hungry..I do think maybe we got unlucky with the amount of things they were out of and I do think the chef can cook...I just think the more appetizer-y items should be more clearly labeled and explained.",1
876,"I read a lot of good reviews about Buca and finally decided to give this top 10 restaurants in Canada a try. 

I came here with my girlfriend for dinner. The moment I came in, I felt like my voice was buried in the noisy environment immediately. It was as noisy as a sports bar and not a good place for chatting. My friend and I had to shout really loud at each other. I can't say I enjoyed the ambiance at all.

We ordered the fish salami platter to share, which came with squid ink bread. The bread looked interesting but taste was just average. For the salami, we both liked the octopus. The spicy flavoured pork blood salami was interesting to me too. 

For main, I had the duck pasta and my friend had the lobster pasta. It took us an hour to wait for the main dish though. We saw people sitting next to us got their food first when they came in later. The duck pasta was very chewy and very tasty (though a little bit salty). The duck had a tuna salad texture which was quite interesting. My friend enjoyed the lobster pasta in general but she didn't like the fact that the noodle being too thin and soft (it's personal preference, though I agree with her). The portion of the food was small but good enough to feed two small eaters.

In general, the food quality was good but missed the wow factor.  Service was average and it was a bit pricy for the overall experience. A 3.5 star rounded down. I will not consider coming back any time soon.",1
1012,"Overall a cool place to visit. I had no idea what this place was, until I heard all they hype about it. When I received a gift card for it, I finally decided to check it out. We went on a Sunday afternoon and as expected it was busy. Assuming that there was line ups for the first week it was opened, it wasn't too bad. 

To start off, space itself was modern and vibrant. It was nicely decorated and had a little of everything. There was a supermarket, which kind of wrapped around the whole 2nd floor. From hand made pastas, sauce, cheese and etcs., they had it all. Surrounding the market was a few take out and, dine in restaurants as well, as cafe's and dessert. They also seemed to have classes too! 

The dine in restaurants were of course busy and, there was a wait so we opt'ed out for the take out joints. For the pizza, there was a variety of them but sold out quick (but also seemed like they were made quickly). There was also a take out joint, right when you go up the escalators which, seemed to have a variety of dishes. The gelato was one of my favorite things there and, maybe the best in the city so that's worth giving it a try. The desserts and chocolate, also looked amazing!

Overall, it was a cool experience and, would visit again to try the restaurants and dessert out!",1
295,Can't comment on the food as I NEVER GOT MY ORDER. I ordered a shrimp burrito and waited 30 minutes. I had an appointment so I couldn't wait anymore; I asked the cashier if my order was almost ready and after looking through a pile of past orders I saw him throw the shrimp on the grill. I asked them to forget about it as really had to go. They reimbursed me cash and I left annoyed that I never ate my food and was starving. I'm not sure how they somehow forgot about my order when I was sitting right there in front of them waiting for 30 minutes! I don't think I'll give it another shot...,0
230,"La Carnita remains one of my go-to spots for tacos in Toronto. I love the food here. The only thing I dislike is the wait. There have been times when the wait wasn't very long but it is normally quite long. 

My favorites are:

Mexican Street Corn - The corn is smothered in sauce and it is just so tasty. I highly recommend this item as an appetizer. I get this almost every time I am here. 

In Cod We Trust taco - This remains my favorite. The cod is lightly battered and the vegetables on it go well with it. 

Overall I think La Carnita is a solid spot for Mexican food!",2
153,"If I'm in the mood for no frills authentic tacos, El Trompo is definitely my spot. They range from the classic Al Sador tacos, to a delicious vegetarian option with mushrooms. They also have delicious salsas for you to top your tacos with. While this is definitely not my number 1 taco place, it definitely easily makes the top 5. This is what I imagine at a local taco spot in Mexico!

I've also tried the molten lava cheese pots (cheese with onions, yes please), the cactus salad and the guac. The guac is absolutely delicious, with the tomato adding just the right amount of citrus. Cactus salad, is citrusy and refreshing, a perfect break in between bites of spicy tacos. It has a texture of a cooked squash, and definitely something to try.

If you're looking for an inexpensive, no frills taco spot, with extra offerings, definitely the perfect spot!",2
1080,"I'm still so full writing this review; which is usually a good sign!

The service was good all night, including the full glass of water my boyfriend knocked right off the table that was immediately cleaned up, so that aside:

We started with a bottle of wine, Priorat, which was delicious! About ($100), a great Spanish red, highly recommend.

First came out the calamari ($14) delicious but quite a small portion, more for one person than it was shareable.

I got the Carbonara (basic and $18), it wasn't at all spectacular, in fact it wasn't even memorable. And the portion was not that large either.
My boyfriend got the 8oz ($38) and the cook was perfect, while the star of the dish was the layered potato serving oh my 

Followed up with an Amaretto, and a tiramisu for me (creamy, flavourful, large, filling, delicious!!!) and a caramel something for my boyfriend (also creamy and delicious!)

Highly recommend dessert over everything else we had! It's a cozy place to go after work, but not that impressive really. I'd call a 3.5/5 an accurate rating! 

Pictures attached!!

Will I be back? Unlikely, maybe just for that tiramisu some time",1
1614,"One of the best dumplings  family restaurant!!! 
We visited the place about 6 years ago and were super impressed with the food. That was the first time ever I've tried dumplings.
In October we were in Toronto and decided to visit this place again. We are still impressed with deliciousness and quality of the food. We ordered several different dishes and they all have been made for us from scratch -- handmade dumplings  are sooooo goooood!!!! If you are in town, make sure stop by that amazing family restaurant!!!!!!!!",2
